Time,Latitude,Longitude
10:38:27,39.0185444360496,-104.893739
10:38:28,39.01854442143636,-104.893739
10:38:29,39.01854448181818,-104.893739
10:38:30,39.0185445,-104.89373892727272
10:38:31,39.01854466666666,-104.8937389
10:38:32,39.01854477,-104.89373889999999
10:38:33,39.01854493333334,-104.8937389
10:38:34,39.01854506666667,-104.8937389
10:38:35,39.018545233333334,-104.89373876666667
10:38:36,39.0185455,-104.89373876666666
10:38:37,39.01854574,-104.89373879999998
10:38:38,39.01854586666666,-104.8937388
10:38:39,39.0185459,-104.8937388
10:38:40,39.018545966666665,-104.89373886666667
10:38:41,39.01854606666667,-104.89373883333333
10:38:42,39.01854602457437,-104.89373879999998
10:38:43,39.01854576054913,-104.89373891999999
10:38:44,39.018545627760474,-104.89373906
10:38:45,39.01854559355779,-104.89373930089425
10:38:46,39.01854551003325,-104.89373951528957
10:38:47,39.01854544444445,-104.89373953892839
10:38:48,39.0185454,-104.8937394823884
10:38:49,39.01854528967536,-104.8937394900624
10:38:50,39.0185450659824,-104.89373954349188
10:38:51,39.018545,-104.8937395433511
10:38:52,39.018544873027736,-104.89373954115021
10:38:53,39.01854452755,-104.89373954095035
10:38:54,39.01854418391387,-104.89373951142436
10:38:55,39.0185439332768,-104.89373954
10:38:56,39.018543842435506,-104.8937396
10:38:57,39.018543975,-104.893739575
10:38:58,39.0185439,-104.8937395
10:38:59,39.0185439,-104.8937395
10:39:00,39.01854391818181,-104.89373948181819
10:39:01,39.01854404,-104.89373942
10:39:02,39.018544256868424,-104.89373947272726
10:39:03,39.01854444219513,-104.8937394
10:39:04,39.01854442222222,-104.89373933333334
10:39:05,39.018544516666665,-104.8937391
10:39:06,39.01854461,-104.89373908
10:39:07,39.01854469090909,-104.8937389
10:39:08,39.0185446,-104.8937389
10:39:09,39.01854458990822,-104.89373891
10:39:10,39.018544445598316,-104.89373900000001
10:39:11,39.01854440516654,-104.89373894862634
10:39:12,39.018545827968,-104.8937374675343
10:39:13,39.0185462,-104.89373707181288
10:39:14,39.018545890643466,-104.89373675389245
10:39:15,39.018545338596134,-104.8937373140332
10:39:16,39.01854516648171,-104.8937416506917
10:39:17,39.01854485413979,-104.89374350665787
10:39:18,39.0185442875879,-104.89374139623605
10:39:19,39.01854419316592,-104.89373978787262
10:39:20,39.01854474501747,-104.8937389177739
10:39:21,39.018544663057845,-104.89373868321545
10:39:22,39.01854439707889,-104.89373857072141
10:39:23,39.01854405644636,-104.89373892828661
10:39:24,39.01854379909333,-104.89373852228515
10:39:25,39.01854405663511,-104.89373865316024
10:39:26,39.018543960800145,-104.89373975624275
10:39:27,39.01854389252478,-104.89373991911087
10:39:28,39.01854380605924,-104.89373937006758
10:39:29,39.018544076064664,-104.89373838749881
10:39:30,39.018544317141405,-104.89373832176044
10:39:31,39.018544051224914,-104.89373857956757
10:39:32,39.0185445925835,-104.89373880387521
10:39:33,39.0185450391697,-104.8937384178807
10:39:34,39.01854444951625,-104.89373797750085
10:39:35,39.01854426925982,-104.8937384668383
10:39:36,39.01854414379821,-104.8937391826181
10:39:37,39.01854350502131,-104.89374041730191
10:39:38,39.018543205302024,-104.89374029817661
10:39:39,39.0185435691369,-104.89373922083624
10:39:40,39.01854379099221,-104.89373974307918
10:39:41,39.01854413291667,-104.89373954423579
10:39:42,39.01854476608143,-104.89373797398686
10:39:43,39.01854442860269,-104.89373730114829
10:39:44,39.018544335922606,-104.89373705066937
10:39:45,39.01854436259737,-104.89373830375327
10:39:46,39.0185443427735,-104.89373923789292
10:39:47,39.01854436666667,-104.89373938386755
10:39:48,39.01854450260727,-104.89374000792284
10:39:49,39.018544773311085,-104.89373871751356
10:39:50,39.01854568177453,-104.89373949113468
10:39:51,39.01854555227046,-104.89374068905545
10:39:52,39.018545896053055,-104.89373527352195
10:39:53,39.01854378383272,-104.89373400748337
10:39:54,39.01854270513944,-104.89373835959708
10:39:55,39.018543706607325,-104.89374115702846
10:39:56,39.01854637104329,-104.8937416094291
10:39:57,39.01854779329736,-104.89374103737319
10:39:58,39.018541732747266,-104.89374087523093
10:39:59,39.01854302908935,-104.89374066190811
10:40:00,39.018543667388904,-104.89373939207844
10:40:01,39.0185445172883,-104.8937386777457
10:40:02,39.0185439,-104.8937376
10:40:03,39.01854440780321,-104.89373521617819
10:40:04,39.01854463078636,-104.89373653209155
10:40:05,39.018545508830236,-104.89373919310978
10:40:06,39.01854537784757,-104.8937404052212
10:40:07,39.01854454619284,-104.8937405
10:40:08,39.01854412352288,-104.89374068
10:40:09,39.01854410372571,-104.89373897960529
10:40:10,39.018545095802956,-104.89373808038869
10:40:11,39.01854547911966,-104.8937388744463
10:40:12,39.01854540444584,-104.89373826738628
10:40:13,39.01854533322965,-104.8937366478894
10:40:14,39.018543967965805,-104.89373652461187
10:40:15,39.01854299149612,-104.89373812079283
10:40:16,39.018543484390456,-104.89373913512624
10:40:17,39.01854427014808,-104.89374044817431
10:40:18,39.018544518158244,-104.89374048701002
10:40:19,39.01854451916753,-104.893739673858
10:40:20,39.01854471835305,-104.89373816757829
10:40:21,39.018544667659526,-104.89373806295376
10:40:22,39.01854350393244,-104.89373767034076
10:40:23,39.01854402571342,-104.89373898956792
10:40:24,39.01854456343097,-104.8937408275825
10:40:25,39.0185438117805,-104.89373958522624
10:40:26,39.01854386869312,-104.89373892565425
10:40:27,39.0185444724374,-104.89373951497248
10:40:28,39.0185445860818,-104.89373905317179
10:40:29,39.0185444424051,-104.89373868579722
10:40:30,39.01854488060979,-104.89373860357097
