Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131685.4701376,39.0186958,-104.8937434,2167.0,0.781,167.29
1732131685.5109935,39.0186958,-104.8937434,2167.0,0.781,167.29
1732131685.5315475,39.0186956,-104.8937431,2167.01,0.799,167.21
1732131685.5723543,39.0186957,-104.893743,2167.01,0.796,167.12
1732131685.5930467,39.0186957,-104.893743,2167.01,0.796,167.12
1732131685.6338089,39.0186957,-104.893743,2167.01,0.796,167.12
1732131685.6542919,39.0186956,-104.8937428,2167.0,0.007,167.04
1732131685.695109,39.0186954,-104.8937425,2167.03,0.035,166.95
1732131685.71558,39.0186954,-104.8937425,2167.03,0.035,166.95
1732131685.7562692,39.0186954,-104.8937425,2167.03,0.035,166.95
1732131685.7768195,39.0186954,-104.8937426,2167.04,0.044,166.87
1732131685.8176394,39.0186954,-104.8937426,2167.04,0.04,166.72
1732131685.8381233,39.0186954,-104.8937426,2167.04,0.04,166.72
1732131685.8789892,39.0186954,-104.8937426,2167.04,0.04,166.72
1732131685.8994992,39.0186953,-104.8937425,2167.02,0.029,166.66
1732131685.9403346,39.0186953,-104.8937426,2167.1,0.104,161.55
1732131685.9608567,39.0186953,-104.8937426,2167.1,0.104,161.55
1732131686.0016913,39.0186953,-104.8937426,2167.1,0.104,161.55
1732131686.0222955,39.0186957,-104.8937437,2168.12,1.129,146.71
1732131686.0630772,39.0186966,-104.8937442,2169.09,2.098,151.73
1732131686.0835888,39.0186966,-104.8937442,2169.09,2.098,151.73
1732131686.124373,39.0186966,-104.8937442,2169.09,2.098,151.73
1732131686.1449122,39.0186957,-104.893745,2170.65,3.656,158.85
1732131686.1857083,39.018695,-104.8937444,2172.05,5.059,185.76
1732131686.2061722,39.018695,-104.8937444,2172.05,5.059,185.76
1732131686.2469897,39.018695,-104.8937444,2172.05,5.059,185.76
1732131686.2674575,39.018696,-104.8937441,2173.12,6.125,188.84
1732131686.3082514,39.0186967,-104.8937441,2173.6,6.605,183.68
1732131686.3287473,39.0186967,-104.8937441,2173.6,6.605,183.68
1732131686.369536,39.0186967,-104.8937441,2173.6,6.605,183.68
1732131686.390034,39.0186968,-104.8937441,2174.1,7.101,185.83
1732131686.4511228,39.0186968,-104.8937441,2174.1,7.101,185.83
1732131686.4716551,39.0186964,-104.8937441,2174.49,7.494,187.2
1732131686.4921894,39.0186964,-104.8937441,2174.49,7.494,187.2
1732131686.5126965,39.0186961,-104.8937437,2174.93,7.935,187.55
1732131686.5738337,39.0186961,-104.8937437,2174.93,7.935,187.55
1732131686.5943458,39.018696,-104.893743,2175.27,8.274,188.5
1732131686.6148121,39.018696,-104.893743,2175.27,8.274,188.5
1732131686.635313,39.0186963,-104.8937433,2175.63,8.636,189.83
1732131686.696394,39.0186963,-104.8937433,2175.63,8.636,189.83
1732131686.716847,39.0186968,-104.893744,2175.96,8.965,157.48
1732131686.7373395,39.0186968,-104.893744,2175.96,8.965,157.48
1732131686.757827,39.0186968,-104.8937431,2176.3,9.303,176.54
1732131686.8087132,39.0186968,-104.8937431,2176.3,9.303,176.54
1732131686.8393662,39.0186968,-104.8937431,2176.3,9.303,176.54
1732131686.8599334,39.018697,-104.8937453,2176.77,9.775,209.8
1732131686.9110734,39.018697,-104.8937453,2176.77,9.775,209.8
1732131686.9417486,39.018697,-104.8937453,2176.77,9.775,209.8
1732131686.9623332,39.0186767,-104.8937146,2177.34,10.347,210.59
1732131687.023442,39.0186767,-104.8937146,2177.34,10.347,210.59
1732131687.0439193,39.0186529,-104.8936687,2177.64,10.646,210.39
1732131687.0643933,39.0186529,-104.8936687,2177.64,10.646,210.39
1732131687.0848665,39.0186293,-104.8936183,2178.6,11.601,213.98
1732131687.1459787,39.0186293,-104.8936183,2178.6,11.601,213.98
1732131687.1664598,39.0186112,-104.8935831,2179.12,12.124,202.1
1732131687.1869166,39.0186112,-104.8935831,2179.12,12.124,202.1
1732131687.2074168,39.0186066,-104.8935562,2179.07,12.076,182.82
1732131687.2685134,39.0186066,-104.8935562,2179.07,12.076,182.82
1732131687.288988,39.0186083,-104.8935441,2179.14,12.145,185.08
1732131687.3094974,39.0186083,-104.8935441,2179.14,12.145,185.08
1732131687.3300397,39.0186048,-104.8935424,2179.37,12.379,183.17
1732131687.391091,39.0186048,-104.8935424,2179.37,12.379,183.17
1732131687.4115834,39.0186051,-104.8935425,2180.04,13.048,184.19
1732131687.4320605,39.0186051,-104.8935425,2180.04,13.048,184.19
1732131687.4525428,39.0186065,-104.893544,2180.8,13.806,186.73
1732131687.5135984,39.0186065,-104.893544,2180.8,13.806,186.73
1732131687.534108,39.0186071,-104.8935458,2181.33,14.331,186.99
1732131687.554612,39.0186071,-104.8935458,2181.33,14.331,186.99
1732131687.5751493,39.0186074,-104.8935461,2181.57,14.577,186.94
1732131687.636232,39.0186074,-104.8935461,2181.57,14.577,186.94
1732131687.656746,39.0186071,-104.8935452,2181.72,14.724,186.24
1732131687.677227,39.0186071,-104.8935452,2181.72,14.724,186.24
1732131687.6977317,39.0186067,-104.893544,2181.76,14.765,185.0
1732131687.7587662,39.0186067,-104.893544,2181.76,14.765,185.0
1732131687.806426,39.0186057,-104.8935436,2181.78,14.783,186.03
1732131687.8269353,39.0186057,-104.8935436,2181.78,14.783,186.03
1732131687.8474607,39.0186058,-104.8935428,2181.8,14.799,184.54
1732131687.9086068,39.0186058,-104.8935428,2181.8,14.799,184.54
1732131687.929165,39.018606,-104.8935431,2181.84,14.847,184.75
1732131687.949655,39.018606,-104.8935431,2181.84,14.847,184.75
1732131687.9701278,39.0186067,-104.8935437,2181.7,14.701,183.07
1732131688.0313392,39.0186067,-104.8935437,2181.7,14.701,183.07
1732131688.05192,39.0186058,-104.8935436,2181.73,14.729,185.24
1732131688.0724664,39.0186058,-104.8935436,2181.73,14.729,185.24
1732131688.092983,39.018606,-104.8935439,2181.66,14.663,184.75
1732131688.1541033,39.018606,-104.8935439,2181.66,14.663,184.75
1732131688.1746585,39.0186065,-104.893544,2181.66,14.663,185.18
1732131688.1952653,39.0186065,-104.893544,2181.66,14.663,185.18
1732131688.2159545,39.0186068,-104.8935437,2181.71,14.714,186.07
1732131688.2770352,39.0186068,-104.8935437,2181.71,14.714,186.07
1732131688.2976167,39.0186067,-104.8935442,2181.62,14.622,185.91
1732131688.3181913,39.0186067,-104.8935442,2181.62,14.622,185.91
1732131688.3387675,39.0186069,-104.8935436,2181.66,14.666,186.4
1732131688.3998458,39.0186069,-104.8935436,2181.66,14.666,186.4
1732131688.4204626,39.0186066,-104.8935432,2181.63,14.63,188.09
1732131688.4411077,39.0186066,-104.8935432,2181.63,14.63,188.09
1732131688.4616992,39.0186067,-104.8935421,2181.6,14.609,185.31
1732131688.5228257,39.0186067,-104.8935421,2181.6,14.609,185.31
1732131688.5433831,39.0186064,-104.8935419,2181.68,14.68,186.43
1732131688.5639544,39.0186064,-104.8935419,2181.68,14.68,186.43
1732131688.5845256,39.0186063,-104.893542,2181.69,14.69,186.49
1732131688.6455896,39.0186063,-104.893542,2181.69,14.69,186.49
1732131688.6662498,39.0186059,-104.8935425,2181.58,14.581,185.79
1732131688.6868103,39.0186059,-104.8935425,2181.58,14.581,185.79
1732131688.7073314,39.0186059,-104.8935431,2181.58,14.585,186.08
1732131688.7683713,39.0186059,-104.8935431,2181.58,14.585,186.08
1732131688.7889535,39.0186058,-104.8935435,2181.56,14.564,186.26
1732131688.8095298,39.0186058,-104.8935435,2181.56,14.564,186.26
1732131688.8301024,39.018606,-104.8935439,2181.57,14.574,186.02
1732131688.8914602,39.018606,-104.8935439,2181.57,14.574,186.02
1732131688.9123876,39.0186062,-104.8935436,2181.6,14.606,186.42
1732131688.9329412,39.0186062,-104.8935436,2181.6,14.606,186.42
1732131688.9534469,39.0186062,-104.8935435,2181.62,14.629,186.38
1732131689.0145047,39.0186062,-104.8935435,2181.62,14.629,186.38
1732131689.0350559,39.0186064,-104.8935435,2181.61,14.613,186.16
1732131689.0556245,39.0186064,-104.8935435,2181.61,14.613,186.16
1732131689.0762935,39.0186061,-104.8935437,2181.63,14.634,186.71
1732131689.1373894,39.0186061,-104.8935437,2181.63,14.634,186.71
1732131689.158012,39.0186061,-104.8935444,2181.64,14.642,186.77
1732131689.1786087,39.0186061,-104.8935444,2181.64,14.642,186.77
1732131689.1991959,39.0186064,-104.8935441,2181.66,14.66,186.54
1732131689.2602787,39.0186064,-104.8935441,2181.66,14.66,186.54
1732131689.2808557,39.0186063,-104.8935441,2181.67,14.67,186.88
1732131689.3015015,39.0186114,-104.8935546,2181.62,14.625,207.01
1732131689.3422976,39.0186274,-104.8935893,2181.46,14.467,278.63
1732131689.362847,39.0186517,-104.8936389,2181.33,14.339,313.29
1732131689.403731,39.0186709,-104.8936819,2181.4,14.406,299.55
1732131689.4242978,39.0186823,-104.8937107,2181.49,14.497,299.61
1732131689.7855272,39.0186823,-104.8937107,2181.49,14.497,299.61
1732131689.816642,39.0186857,-104.8937186,2181.3,14.307,299.46
1732131690.7919621,39.0186857,-104.8937186,2181.3,14.307,299.46
1732131690.8177009,39.0186786,-104.8937027,2181.15,14.154,345.59
1732131691.8187425,39.018678,-104.8936648,2181.55,14.551,59.49
1732131691.8409224,39.018678,-104.8936648,2181.55,14.551,59.49
1732131692.8193078,39.0186834,-104.8936048,2181.52,14.524,91.9
1732131692.8677664,39.0186834,-104.8936048,2181.52,14.524,91.9
1732131693.8305387,39.0186927,-104.8935229,2181.52,14.525,83.88
1732131693.8833365,39.0186927,-104.8935229,2181.52,14.525,83.88
1732131694.836446,39.0187038,-104.8934472,2181.72,14.723,88.02
1732131694.8997083,39.0187038,-104.8934472,2181.72,14.723,88.02
1732131695.8424754,39.0187139,-104.8933972,2181.85,14.857,83.66
1732131695.933473,39.0187139,-104.8933972,2181.85,14.857,83.66
1732131696.8535714,39.0187201,-104.8933737,2181.54,14.544,72.82
1732131696.9241564,39.0187201,-104.8933737,2181.54,14.544,72.82
1732131697.8632064,39.0187206,-104.8933752,2181.24,14.248,85.4
1732131697.940285,39.0187206,-104.8933752,2181.24,14.248,85.4
1732131698.8986409,39.0187177,-104.8933812,2181.02,14.026,153.02
1732131698.9576228,39.0187177,-104.8933812,2181.02,14.026,153.02
1732131699.9040773,39.0187195,-104.8933781,2181.09,14.094,161.46
1732131699.9683597,39.0187195,-104.8933781,2181.09,14.094,161.46
1732131700.9188101,39.0187211,-104.8933717,2181.3,14.308,60.16
1732131700.9819381,39.0187211,-104.8933717,2181.3,14.308,60.16
1732131701.9657276,39.0187211,-104.8933695,2181.31,14.313,67.89
1732131701.9946144,39.0187211,-104.8933695,2181.31,14.313,67.89
1732131702.9795208,39.0186888,-104.8933755,2181.1,14.106,147.04
1732131703.004952,39.0186888,-104.8933755,2181.1,14.106,147.04
1732131704.000015,39.0186456,-104.8933842,2181.31,14.315,197.53
1732131704.020663,39.0186456,-104.8933842,2181.31,14.315,197.53
1732131705.01146,39.0186456,-104.8933842,2181.31,14.315,197.53
1732131705.034543,39.0185851,-104.8933917,2181.37,14.376,184.34
1732131706.0177789,39.0185851,-104.8933917,2181.37,14.376,184.34
1732131706.0417154,39.0185134,-104.8934078,2181.73,14.735,196.95
1732131707.0291686,39.0185134,-104.8934078,2181.73,14.735,196.95
1732131707.0566094,39.0184502,-104.8934226,2181.54,14.54,192.94
1732131708.055954,39.0184502,-104.8934226,2181.54,14.54,192.94
1732131708.1036396,39.0183965,-104.893437,2181.54,14.542,194.95
1732131709.0575507,39.0183965,-104.893437,2181.54,14.542,194.95
1732131709.114418,39.0183559,-104.8934501,2181.49,14.495,191.56
1732131710.0560396,39.0183559,-104.8934501,2181.49,14.495,191.56
1732131710.122241,39.0183366,-104.8934563,2181.43,14.434,190.82
1732131711.076933,39.0183366,-104.8934563,2181.43,14.434,190.82
1732131711.127684,39.018336,-104.893458,2181.17,14.177,183.76
1732131712.0741217,39.018336,-104.893458,2181.17,14.177,183.76
1732131712.1366277,39.018355,-104.8934506,2180.83,13.834,126.27
1732131713.0912082,39.018355,-104.8934506,2180.83,13.834,126.27
1732131713.1420236,39.0183696,-104.8934458,2180.64,13.649,61.54
1732131714.0776982,39.0183696,-104.8934458,2180.64,13.649,61.54
1732131714.1686044,39.018367,-104.8934484,2180.91,13.91,27.81
1732131715.094083,39.018367,-104.8934484,2180.91,13.91,27.81
1732131715.1642888,39.0183511,-104.8934534,2181.03,14.035,102.53
1732131716.112025,39.0183511,-104.8934534,2181.03,14.035,102.53
1732131716.170627,39.0183431,-104.8934599,2181.15,14.151,162.32
1732131717.1191072,39.0183431,-104.8934599,2181.15,14.151,162.32
1732131717.1781034,39.0183523,-104.8934582,2181.03,14.038,180.65
1732131718.149962,39.0183523,-104.8934582,2181.03,14.038,180.65
1732131718.1974988,39.0183614,-104.8934518,2180.8,13.801,102.77
1732131719.170742,39.0183614,-104.8934518,2180.8,13.801,102.77
1732131719.191314,39.0183648,-104.8934479,2180.9,13.902,42.42
1732131720.171963,39.0183648,-104.8934479,2180.9,13.902,42.42
1732131720.197674,39.0183651,-104.893448,2180.79,13.797,358.17
1732131721.1815755,39.0183651,-104.893448,2180.79,13.797,358.17
1732131721.2036083,39.018364,-104.8934489,2180.88,13.881,7.54
1732131722.187252,39.018364,-104.8934489,2180.88,13.881,7.54
1732131722.214448,39.018362,-104.8934501,2180.87,13.877,7.51
1732131723.2382698,39.018362,-104.8934501,2180.87,13.877,7.51
1732131723.2588267,39.0183622,-104.8934507,2181.07,14.075,6.58
1732131724.2530258,39.0183625,-104.8934498,2181.01,14.011,7.9
1732131724.2736254,39.0183625,-104.8934498,2181.01,14.011,7.9
1732131725.2498453,39.0183628,-104.89345,2180.89,13.898,6.99
1732131725.2744417,39.0183628,-104.89345,2180.89,13.898,6.99
1732131726.2668886,39.0183648,-104.8934501,2180.92,13.929,8.37
1732131726.30063,39.0183648,-104.8934501,2180.92,13.929,8.37
1732131727.282941,39.0183838,-104.8934534,2180.79,13.798,344.15
1732131727.303506,39.0183838,-104.8934534,2180.79,13.798,344.15
1732131728.29434,39.018421,-104.8934616,2180.44,13.443,347.69
1732131728.3176095,39.018421,-104.8934616,2180.44,13.443,347.69
1732131729.2907593,39.0184788,-104.8934744,2180.57,13.576,349.39
1732131729.3113804,39.0184788,-104.8934744,2180.57,13.576,349.39
1732131730.3044286,39.0185468,-104.893489,2180.92,13.929,349.94
1732131730.3514197,39.0185468,-104.893489,2180.92,13.929,349.94
1732131731.3061082,39.0186107,-104.8935047,2181.06,14.068,346.77
1732131731.3970232,39.0186107,-104.8935047,2181.06,14.068,346.77
1732131732.3254335,39.0186666,-104.8935204,2180.89,13.895,348.15
1732131732.4163377,39.0186666,-104.8935204,2180.89,13.895,348.15
1732131733.3462768,39.0187117,-104.8935317,2180.69,13.691,346.68
1732131733.4089162,39.0187117,-104.8935317,2180.69,13.691,346.68
1732131734.3395424,39.0187362,-104.8935376,2180.5,13.507,346.39
1732131734.4304702,39.0187362,-104.8935376,2180.5,13.507,346.39
1732131735.3434515,39.0187399,-104.8935384,2180.38,13.387,347.27
1732131735.4343097,39.0187399,-104.8935384,2180.38,13.387,347.27
1732131736.3693233,39.0187219,-104.8935345,2180.5,13.5,291.44
1732131736.4198027,39.0187219,-104.8935345,2180.5,13.5,291.44
1732131737.3896878,39.0186956,-104.8935267,2180.94,13.943,229.38
1732131737.4262605,39.0186956,-104.8935267,2180.94,13.943,229.38
1732131738.3950496,39.018686,-104.8935231,2180.71,13.714,174.99
1732131738.4451828,39.018686,-104.8935231,2180.71,13.714,174.99
1732131739.4148455,39.0186922,-104.893527,2180.37,13.369,183.39
1732131739.476052,39.0186922,-104.893527,2180.37,13.369,183.39
1732131740.4410396,39.0187107,-104.8935374,2179.85,12.854,297.45
1732131740.5063207,39.0187107,-104.8935374,2179.85,12.854,297.45
1732131741.4764247,39.0187069,-104.8935336,2179.89,12.891,335.06
1732131741.5172944,39.0187069,-104.8935336,2179.89,12.891,335.06
1732131742.4721289,39.0186973,-104.893528,2180.07,13.075,261.42
1732131742.5268545,39.0186973,-104.893528,2180.07,13.075,261.42
1732131743.4837468,39.0186936,-104.8935252,2180.09,13.097,193.57
1732131743.5314977,39.0186936,-104.8935252,2180.09,13.097,193.57
1732131744.490831,39.0186921,-104.893521,2180.06,13.06,153.71
1732131744.5457034,39.0186921,-104.893521,2180.06,13.06,153.71
1732131745.500947,39.0186888,-104.8934904,2180.09,13.093,96.27
1732131745.5489285,39.0186888,-104.8934904,2180.09,13.093,96.27
1732131746.5234907,39.0186873,-104.8934352,2180.02,13.027,82.76
1732131746.5671332,39.0186873,-104.8934352,2180.02,13.027,82.76
1732131747.5089347,39.0186814,-104.8933536,2180.08,13.089,98.63
1732131747.6026986,39.0186814,-104.8933536,2180.08,13.089,98.63
1732131748.5320141,39.0186723,-104.8932736,2180.37,13.377,106.91
1732131748.625477,39.0186723,-104.8932736,2180.37,13.377,106.91
1732131749.5279326,39.0186663,-104.8932027,2180.27,13.279,102.41
1732131749.6272283,39.0186663,-104.8932027,2180.27,13.279,102.41
1732131750.5480716,39.018661,-104.8931426,2180.18,13.184,101.03
1732131750.6407745,39.018661,-104.8931426,2180.18,13.184,101.03
1732131751.5549083,39.0186575,-104.8931014,2180.19,13.193,96.05
1732131751.6549962,39.0186575,-104.8931014,2180.19,13.193,96.05
1732131752.5777452,39.0186567,-104.8930887,2180.05,13.052,93.82
1732131752.6734433,39.0186567,-104.8930887,2180.05,13.052,93.82
1732131753.5860944,39.0186568,-104.8931029,2179.91,12.917,127.9
1732131753.7059739,39.0186568,-104.8931029,2179.91,12.917,127.9
1732131754.5928748,39.018659,-104.8931278,2179.78,12.788,198.88
1732131754.7136092,39.018659,-104.8931278,2179.78,12.788,198.88
1732131755.6106837,39.0186621,-104.8931277,2179.78,12.785,249.86
1732131755.7173107,39.0186621,-104.8931277,2179.78,12.785,249.86
1732131756.599954,39.0186601,-104.8931138,2179.85,12.851,202.68
1732131756.7302036,39.0186601,-104.8931138,2179.85,12.851,202.68
1732131757.632537,39.0186582,-104.8931051,2179.81,12.817,127.65
1732131757.7357397,39.0186582,-104.8931051,2179.81,12.817,127.65
1732131758.6511762,39.0186556,-104.8931004,2179.86,12.863,87.38
1732131758.769006,39.0186556,-104.8931004,2179.86,12.863,87.38
1732131759.6524477,39.0186328,-104.8930994,2178.88,11.882,147.03
1732131759.7908113,39.0186328,-104.8930994,2178.88,11.882,147.03
1732131760.683172,39.0185921,-104.8931078,2178.8,11.807,189.02
1732131760.8002634,39.0185921,-104.8931078,2178.8,11.807,189.02
1732131761.681193,39.0185356,-104.89311,2179.61,12.612,180.07
1732131761.8068397,39.0185356,-104.89311,2179.61,12.612,180.07
1732131762.6912427,39.0184585,-104.8931187,2179.71,12.713,188.44
1732131762.8095515,39.0184585,-104.8931187,2179.71,12.713,188.44
1732131763.6913085,39.0183733,-104.8931309,2179.75,12.758,188.86
1732131763.8159955,39.0183733,-104.8931309,2179.75,12.758,188.86
1732131764.6926033,39.0182888,-104.8931453,2179.62,12.625,189.48
1732131764.8223712,39.0182888,-104.8931453,2179.62,12.625,189.48
1732131765.6963367,39.0182105,-104.8931609,2179.47,12.475,191.24
1732131765.8328295,39.0182105,-104.8931609,2179.47,12.475,191.24
1732131766.697219,39.0181394,-104.8931823,2179.55,12.555,193.93
1732131766.8349998,39.0181394,-104.8931823,2179.55,12.555,193.93
1732131767.7337396,39.0180792,-104.8931998,2179.48,12.484,191.43
1732131767.8542523,39.0180792,-104.8931998,2179.48,12.484,191.43
1732131768.874449,39.0180792,-104.8931998,2179.48,12.484,191.43
1732131768.9219675,39.0180318,-104.8932137,2179.41,12.416,192.47
1732131769.8892012,39.0180318,-104.8932137,2179.41,12.416,192.47
1732131770.1487958,39.018006,-104.8932218,2179.08,12.082,188.8
1732131770.7494764,39.0179971,-104.8932228,2179.09,12.099,185.24
1732131770.9105942,39.0179971,-104.8932228,2179.09,12.099,185.24
1732131771.7592058,39.018009,-104.8932195,2178.65,11.655,226.45
1732131771.920381,39.018009,-104.8932195,2178.65,11.655,226.45
1732131772.7519972,39.0180398,-104.8932147,2178.25,11.252,301.06
1732131772.9233239,39.0180398,-104.8932147,2178.25,11.252,301.06
1732131773.7680242,39.0180553,-104.8932083,2178.26,11.261,3.88
1732131773.9291701,39.0180553,-104.8932083,2178.26,11.261,3.88
1732131774.7740986,39.0180515,-104.8932067,2178.53,11.535,35.96
1732131774.9352393,39.0180515,-104.8932067,2178.53,11.535,35.96
1732131775.8302577,39.0180323,-104.8932117,2178.61,11.615,98.79
1732131775.949504,39.0180323,-104.8932117,2178.61,11.615,98.79
1732131776.7965934,39.0180259,-104.8932181,2178.67,11.678,154.3
1732131776.9577584,39.0180259,-104.8932181,2178.67,11.678,154.3
1732131777.813282,39.0180359,-104.8932168,2178.53,11.538,170.78
1732131777.9808862,39.0180359,-104.8932168,2178.53,11.538,170.78
1732131778.824106,39.0180456,-104.8932099,2178.44,11.448,93.01
1732131778.9967968,39.0180456,-104.8932099,2178.44,11.448,93.01
1732131779.8426275,39.0180511,-104.8932059,2178.55,11.559,28.8
1732131780.0114381,39.0180511,-104.8932059,2178.55,11.559,28.8
1732131780.869395,39.0180509,-104.8932064,2178.45,11.456,2.58
1732131781.0305128,39.0180509,-104.8932064,2178.45,11.456,2.58
1732131781.8842843,39.0180491,-104.8932072,2178.54,11.544,15.39
1732131782.0456452,39.0180491,-104.8932072,2178.54,11.544,15.39
1732131782.8909607,39.0180459,-104.8932088,2178.61,11.617,15.68
1732131783.0522895,39.0180459,-104.8932088,2178.61,11.617,15.68
1732131783.9084325,39.0180561,-104.8932142,2178.5,11.507,345.65
1732131784.0696316,39.0180561,-104.8932142,2178.5,11.507,345.65
1732131784.9000678,39.0180875,-104.8932258,2177.93,10.937,332.8
1732131785.1341937,39.0180875,-104.8932258,2177.93,10.937,332.8
1732131785.9206002,39.0181357,-104.893246,2176.6,9.603,342.73
1732131786.1522563,39.0181357,-104.893246,2176.6,9.603,342.73
1732131786.9355216,39.0182088,-104.8932792,2174.79,7.798,340.94
1732131787.1669128,39.0182088,-104.8932792,2174.79,7.798,340.94
1732131787.9609635,39.0182499,-104.8933068,2172.69,5.692,330.6
