Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131685.4701376,39.0187411,-104.8936742,2165.04,0.568,204.01
1732131685.5109935,39.0187409,-104.8936742,2165.07,0.591,203.98
1732131685.5315475,39.0187409,-104.8936742,2165.07,0.591,203.98
1732131685.5723543,39.0187409,-104.8936742,2165.07,0.591,203.98
1732131685.5930467,39.0187406,-104.8936743,2165.08,0.605,203.98
1732131685.6338089,39.0187406,-104.8936742,2165.1,0.622,203.96
1732131685.6542919,39.0187406,-104.8936742,2165.1,0.622,203.96
1732131685.695109,39.0187406,-104.8936742,2165.1,0.622,203.96
1732131685.71558,39.0187405,-104.8936743,2165.07,0.598,203.93
1732131685.7562692,39.0187404,-104.8936743,2165.06,0.58,203.91
1732131685.7768195,39.0187404,-104.8936743,2165.06,0.58,203.91
1732131685.8176394,39.0187404,-104.8936743,2165.06,0.58,203.91
1732131685.8381233,39.0187399,-104.8936743,2165.08,0.606,203.87
1732131685.8789892,39.0187395,-104.8936741,2165.1,0.619,203.85
1732131685.8994992,39.0187395,-104.8936741,2165.1,0.619,203.85
1732131685.9403346,39.0187395,-104.8936741,2165.1,0.619,203.85
1732131685.9608567,39.0187394,-104.893674,2165.08,0.608,203.83
1732131686.0016913,39.0187392,-104.893674,2165.08,0.601,203.82
1732131686.0222955,39.0187392,-104.893674,2165.08,0.601,203.82
1732131686.0630772,39.0187392,-104.893674,2165.08,0.601,203.82
1732131686.0835888,39.0187391,-104.8936738,2165.08,0.602,203.82
1732131686.124373,39.0187389,-104.8936738,2165.08,0.601,203.8
1732131686.1449122,39.0187389,-104.8936738,2165.08,0.601,203.8
1732131686.1857083,39.0187389,-104.8936738,2165.08,0.601,203.8
1732131686.2061722,39.0187389,-104.8936738,2165.08,0.601,203.79
1732131686.2469897,39.0187388,-104.8936738,2165.09,0.61,203.78
1732131686.2674575,39.0187388,-104.8936738,2165.09,0.61,203.78
1732131686.3082514,39.0187388,-104.8936738,2165.09,0.61,203.78
1732131686.3287473,39.0187385,-104.8936736,2165.05,0.578,203.76
1732131686.369536,39.0187383,-104.8936734,2165.05,0.577,203.75
1732131686.390034,39.0187383,-104.8936734,2165.05,0.577,203.75
1732131686.4511228,39.0187381,-104.8936733,2165.05,0.576,203.75
1732131686.4716551,39.0187381,-104.8936733,2165.05,0.576,203.75
1732131686.4921894,39.0187379,-104.893673,2165.07,0.596,203.74
1732131686.5126965,39.0187379,-104.893673,2165.07,0.596,203.74
1732131686.5738337,39.018738,-104.8936727,2165.09,0.613,203.72
1732131686.5943458,39.018738,-104.8936727,2165.09,0.613,203.72
1732131686.6148121,39.0187379,-104.8936727,2165.1,0.629,203.71
1732131686.635313,39.0187379,-104.8936727,2165.1,0.629,203.71
1732131686.696394,39.0187378,-104.8936727,2165.11,0.636,203.7
1732131686.716847,39.0187378,-104.8936727,2165.11,0.636,203.7
