BREAK,2025-04-09 07:25:06.392283,,,,
Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-09 07:25:36.607400,,,,
BREAK,2025-04-09 07:25:47.900664,,,,
1744205214.5192807,39.017306,-104.892471,2171.07,10.99,225.93
1744205215.3216536,39.017306,-104.892471,2171.07,10.99,235.93
1744205215.5241656,39.017306,-104.892471,2171.07,10.99,235.93
1744205216.3376992,39.017306,-104.8924711,2171.06,10.988,245.94
1744205216.527999,39.017306,-104.8924711,2171.06,10.988,245.94
1744205217.346857,39.017306,-104.8924711,2171.06,10.988,255.94
1744205217.5381708,39.017306,-104.8924711,2171.06,10.988,255.94
1744205218.4059663,39.017306,-104.8924711,2171.07,10.99,265.94
1744205218.5437534,39.017306,-104.8924711,2171.07,10.99,265.94
1744205219.4125636,39.017306,-104.8924712,2171.07,10.99,275.94
1744205219.5737698,39.017306,-104.8924712,2171.07,10.99,275.94
1744205220.4240465,39.017306,-104.8924712,2171.07,10.99,285.95
1744205220.5618773,39.017306,-104.8924712,2171.07,10.99,285.95
1744205221.428251,39.017306,-104.8924713,2171.07,10.99,295.95
1744205221.5895646,39.017306,-104.8924713,2171.07,10.99,295.95
1744205222.4342043,39.017306,-104.8924713,2171.06,10.988,305.96
1744205222.604787,39.017306,-104.8924713,2171.06,10.988,305.96
1744205223.4397576,39.017306,-104.8924714,2171.06,10.988,315.95
1744205223.6150875,39.017306,-104.8924714,2171.06,10.988,315.95
1744205224.4404352,39.017306,-104.8924714,2171.07,10.99,325.96
1744205224.6781616,39.017306,-104.8924714,2171.07,10.99,325.96
1744205225.4558742,39.017306,-104.8924715,2171.07,10.99,335.96
1744205225.6932507,39.017306,-104.8924715,2171.07,10.99,335.96
1744205226.472084,39.0173061,-104.8924715,2171.07,10.99,345.95
1744205227.5037627,39.0173061,-104.8924715,2171.07,10.99,355.96
1744205227.7351336,39.0173061,-104.8924715,2171.07,10.99,355.96
1744205228.5087724,39.0173061,-104.8924715,2171.07,10.99,5.93
1744205228.7610278,39.0173061,-104.8924715,2171.07,10.99,5.93
1744205229.5143213,39.0173061,-104.8924715,2171.07,10.99,15.95
1744205229.7527554,39.0173061,-104.8924715,2171.07,10.99,15.95
1744205230.5302749,39.0173062,-104.8924715,2171.07,10.99,25.93
1744205230.7640798,39.0173062,-104.8924715,2171.07,10.99,25.93
1744205231.5590627,39.0173062,-104.8924715,2171.07,10.99,35.95
1744205231.790953,39.0173062,-104.8924715,2171.07,10.99,35.95
1744205232.5547695,39.0173062,-104.8924714,2171.06,10.988,45.94
1744205232.8071182,39.0173062,-104.8924714,2171.06,10.988,45.94
1744205233.5740855,39.0173063,-104.8924714,2171.06,10.989,55.95
1744205233.8452613,39.0173063,-104.8924714,2171.06,10.989,55.95
1744205234.5899422,39.0173063,-104.8924713,2171.07,10.99,70.96
1744205234.8790376,39.0173063,-104.8924713,2171.07,10.99,70.96
1744205235.6031392,39.0173064,-104.8924713,2171.07,10.99,80.96
1744205235.9051087,39.0173064,-104.8924713,2171.07,10.99,80.96
1744205236.6488917,39.0173064,-104.8924712,2171.07,10.99,90.96
1744205236.9506547,39.0173064,-104.8924712,2171.07,10.99,90.96
1744205237.6751301,39.0173064,-104.8924712,2171.07,10.99,100.96
1744205237.9772444,39.0173064,-104.8924712,2171.07,10.99,100.96
1744205238.7217183,39.0173063,-104.8924711,2171.07,10.99,110.96
1744205238.994213,39.0173063,-104.8924711,2171.07,10.99,110.96
1744205239.7231607,39.0173063,-104.8924711,2171.06,10.988,120.95
1744205239.9762406,39.0173063,-104.8924711,2171.06,10.988,120.95
1744205240.7304919,39.0173063,-104.8924711,2171.06,10.988,130.94
1744205240.9816897,39.0173063,-104.8924711,2171.06,10.988,130.94
1744205241.7322512,39.0173063,-104.8924711,2171.07,10.99,140.95
1744205242.0211365,39.0173063,-104.8924711,2171.07,10.99,140.95
1744205242.745355,39.0173063,-104.892471,2171.07,10.99,150.94
1744205243.0102477,39.0173063,-104.892471,2171.07,10.99,150.94
1744205243.7651904,39.0173062,-104.892471,2171.07,10.99,160.96
1744205244.0258467,39.0173062,-104.892471,2171.07,10.99,160.96
1744205244.775271,39.0173062,-104.892471,2171.07,10.99,170.95
1744205245.0419447,39.0173062,-104.892471,2171.07,10.99,170.95
1744205245.7841513,39.0173062,-104.8924711,2171.07,10.99,180.97
1744205246.0442345,39.0173062,-104.8924711,2171.07,10.99,180.97
1744205246.79751,39.0173061,-104.8924711,2171.06,10.988,190.96
1744205247.0837064,39.0173061,-104.8924711,2171.06,10.988,190.96
1744205247.8207352,39.0173061,-104.8924711,2171.06,10.989,200.96
1744205248.0881672,39.0173061,-104.8924711,2171.06,10.989,200.96
1744205248.8641212,39.0173061,-104.8924711,2171.07,10.99,210.96
1744205249.1161463,39.0173061,-104.8924711,2171.07,10.99,210.96
1744205249.871074,39.0173061,-104.8924711,2171.07,10.99,220.97
1744205250.1232555,39.0173061,-104.8924711,2171.07,10.99,220.97
1744205250.8723185,39.0173061,-104.8924711,2171.07,10.99,230.96
1744205251.1562178,39.0173061,-104.8924711,2171.07,10.99,230.96
1744205251.8929882,39.0173061,-104.8924712,2171.07,10.99,240.97
1744205252.1759682,39.0173061,-104.8924712,2171.07,10.99,240.97
1744205252.9056456,39.0173061,-104.8924712,2171.06,10.988,250.97
1744205253.1992233,39.0173061,-104.8924712,2171.06,10.988,250.97
1744205253.9240603,39.0173061,-104.8924712,2171.06,10.988,260.97
1744205254.234964,39.0173061,-104.8924712,2171.06,10.988,260.97
1744205254.9327362,39.0173061,-104.8924712,2171.07,10.99,270.97
1744205255.2255623,39.0173061,-104.8924712,2171.07,10.99,270.97
1744205255.9500432,39.0173061,-104.8924712,2171.07,10.99,280.98
1744205256.2399094,39.0173061,-104.8924712,2171.07,10.99,280.98
1744205256.964183,39.0173061,-104.8924712,2171.07,10.99,290.97
1744205257.2765658,39.0173061,-104.8924712,2171.07,10.99,290.97
1744205257.9690263,39.0173062,-104.8924712,2171.07,10.99,300.97
1744205258.2811146,39.0173062,-104.8924712,2171.07,10.99,300.97
1744205258.974329,39.0173062,-104.8924712,2171.06,10.989,310.98
1744205259.3082771,39.0173062,-104.8924712,2171.06,10.989,310.98
1744205259.975766,39.0173062,-104.8924712,2171.06,10.988,320.97
1744205260.3237689,39.0173062,-104.8924712,2171.06,10.988,320.97
1744205261.0011513,39.0173062,-104.8924712,2171.07,10.99,330.98
1744205261.3247404,39.0173062,-104.8924712,2171.07,10.99,330.98
1744205262.002738,39.0173062,-104.8924711,2171.07,10.99,340.98
1744205262.3262758,39.0173062,-104.8924711,2171.07,10.99,340.98
1744205263.0038192,39.0173062,-104.8924711,2171.07,10.99,350.98
1744205263.329043,39.0173062,-104.8924711,2171.07,10.99,350.98
1744205264.0085883,39.0173062,-104.892471,2171.07,10.99,0.97
1744205264.3371232,39.0173062,-104.892471,2171.07,10.99,0.97
1744205265.0266914,39.0173061,-104.892471,2171.07,10.99,10.97
1744205265.3746595,39.0173061,-104.892471,2171.07,10.99,10.97
1744205266.0415275,39.0173061,-104.892471,2171.06,10.989,20.95
1744205266.3894331,39.0173061,-104.892471,2171.06,10.989,20.95
1744205267.050062,39.0173061,-104.892471,2171.06,10.988,30.96
1744205267.457606,39.0173061,-104.892471,2171.06,10.988,30.96
1744205268.0552385,39.0173061,-104.892471,2171.07,10.99,40.95
1744205268.4541595,39.0173061,-104.892471,2171.07,10.99,40.95
1744205269.0739594,39.0173061,-104.892471,2171.07,10.99,50.97
1744205269.4944024,39.0173061,-104.892471,2171.07,10.99,50.97
1744205270.095301,39.0173061,-104.892471,2171.07,10.99,60.96
1744205270.518022,39.0173061,-104.892471,2171.07,10.99,60.96
1744205271.1231883,39.017306,-104.892471,2171.07,10.99,75.97
1744205271.537757,39.017306,-104.892471,2171.07,10.99,75.97
1744205272.5521348,39.017306,-104.892471,2171.07,10.99,75.97
1744205273.1561656,39.017306,-104.8924711,2171.06,10.989,95.98
1744205273.557139,39.017306,-104.8924711,2171.06,10.989,95.98
1744205274.1632376,39.017306,-104.8924711,2171.07,10.99,105.98
1744205274.5778818,39.017306,-104.8924711,2171.07,10.99,105.98
1744205275.1887355,39.017306,-104.8924711,2171.07,10.99,115.97
1744205275.5914195,39.017306,-104.8924711,2171.07,10.99,115.97
1744205276.221412,39.017306,-104.8924712,2171.07,10.99,125.98
1744205276.5969286,39.017306,-104.8924712,2171.07,10.99,125.98
1744205277.2389646,39.017306,-104.8924713,2171.06,10.989,135.97
1744205277.6114237,39.017306,-104.8924713,2171.06,10.989,135.97
1744205278.2405207,39.017306,-104.8924713,2171.06,10.988,145.96
1744205278.6149716,39.017306,-104.8924713,2171.06,10.988,145.96
1744205279.247244,39.017306,-104.8924713,2171.07,10.989,155.97
1744205279.6381655,39.017306,-104.8924713,2171.07,10.989,155.97
1744205280.2592294,39.017306,-104.8924713,2171.07,10.99,165.96
1744205280.6460245,39.017306,-104.8924713,2171.07,10.99,165.96
1744205281.2793012,39.017306,-104.8924713,2171.07,10.99,175.97
1744205281.6514843,39.017306,-104.8924713,2171.07,10.99,175.97
1744205282.3909793,39.0173061,-104.8924713,2171.07,10.99,185.98
1744205282.6584644,39.0173061,-104.8924713,2171.07,10.99,185.98
1744205283.4017549,39.0173061,-104.8924713,2171.07,10.99,195.98
1744205283.6724453,39.0173061,-104.8924713,2171.07,10.99,195.98
1744205284.437286,39.0173061,-104.8924713,2171.06,10.989,205.97
1744205284.6817179,39.0173061,-104.8924713,2171.06,10.989,205.97
1744205285.437887,39.0173061,-104.8924713,2171.06,10.988,215.97
1744205285.6924496,39.0173061,-104.8924713,2171.06,10.988,215.97
1744205286.4668863,39.0173062,-104.8924713,2171.06,10.989,225.97
1744205286.7128396,39.0173062,-104.8924713,2171.06,10.989,225.97
1744205287.5003345,39.0173062,-104.8924713,2171.07,10.99,235.98
1744205287.7319698,39.0173062,-104.8924713,2171.07,10.99,235.98
1744205288.5058963,39.0173062,-104.8924713,2171.07,10.99,245.97
1744205288.7376263,39.0173062,-104.8924713,2171.07,10.99,245.97
1744205289.5152295,39.0173062,-104.8924713,2171.07,10.99,255.98
1744205289.7483134,39.0173062,-104.8924713,2171.07,10.99,255.98
1744205290.5342607,39.0173062,-104.8924712,2171.07,10.99,265.98
1744205290.7659209,39.0173062,-104.8924712,2171.07,10.99,265.98
1744205291.550104,39.0173063,-104.8924712,2171.06,10.988,275.98
1744205291.7816794,39.0173063,-104.8924712,2171.06,10.988,275.98
1744205292.5549974,39.0173063,-104.8924712,2171.06,10.989,285.98
1744205292.78966,39.0173063,-104.8924712,2171.06,10.989,285.98
1744205293.563394,39.0173063,-104.8924711,2171.07,10.99,295.98
1744205293.8163836,39.0173063,-104.8924711,2171.07,10.99,295.98
1744205294.5655687,39.0173063,-104.892471,2171.07,10.99,305.99
1744205294.8340857,39.0173063,-104.892471,2171.07,10.99,305.99
1744205295.5921195,39.0173062,-104.892471,2171.07,10.99,315.99
1744205295.851891,39.0173062,-104.892471,2171.07,10.99,315.99
1744205296.592391,39.0173062,-104.892471,2171.07,10.99,330.98
1744205296.8944185,39.0173062,-104.892471,2171.07,10.99,330.98
1744205297.6038918,39.0173062,-104.892471,2171.06,10.988,335.99
1744205297.9058483,39.0173062,-104.892471,2171.06,10.988,335.99
1744205298.6497622,39.0173062,-104.8924709,2171.06,10.989,350.98
1744205298.9165242,39.0173062,-104.8924709,2171.06,10.989,350.98
1744205299.668376,39.0173062,-104.8924709,2171.07,10.99,0.97
1744205299.9301682,39.0173062,-104.8924709,2171.07,10.99,0.97
1744205300.668645,39.0173061,-104.8924709,2171.07,10.99,10.97
1744205300.9373164,39.0173061,-104.8924709,2171.07,10.99,10.97
1744205301.681891,39.0173061,-104.8924709,2171.07,10.99,20.98
1744205301.9444623,39.0173061,-104.8924709,2171.07,10.99,20.98
1744205302.701438,39.0173061,-104.8924709,2171.06,10.989,30.98
1744205302.9600146,39.0173061,-104.8924709,2171.06,10.989,30.98
1744205303.7048826,39.0173061,-104.8924709,2171.06,10.988,40.97
1744205304.0069122,39.0173061,-104.8924709,2171.06,10.988,40.97
1744205304.7096438,39.017306,-104.8924709,2171.07,10.99,50.97
1744205305.011549,39.017306,-104.8924709,2171.07,10.99,50.97
1744205305.7121453,39.017306,-104.8924709,2171.07,10.99,60.98
1744205306.0142236,39.017306,-104.8924709,2171.07,10.99,60.98
1744205306.721101,39.017306,-104.892471,2171.07,10.99,70.98
1744205307.0233502,39.017306,-104.892471,2171.07,10.99,70.98
1744205307.7779584,39.017306,-104.892471,2171.07,10.99,80.98
1744205308.079964,39.017306,-104.892471,2171.07,10.99,80.98
1744205308.7753005,39.017306,-104.8924711,2171.07,10.99,90.98
1744205309.0930853,39.017306,-104.8924711,2171.07,10.99,90.98
1744205309.7934191,39.017306,-104.8924711,2171.06,10.989,100.98
1744205310.115,39.017306,-104.8924711,2171.06,10.989,100.98
1744205310.803172,39.017306,-104.8924711,2171.06,10.988,110.98
1744205311.126562,39.017306,-104.8924711,2171.06,10.988,110.98
1744205311.8262463,39.017306,-104.8924712,2171.07,10.99,120.98
1744205312.1983106,39.017306,-104.8924712,2171.07,10.99,120.98
1744205312.8663182,39.017306,-104.8924712,2171.07,10.99,130.98
1744205313.1976635,39.017306,-104.8924712,2171.07,10.99,130.98
1744205313.924057,39.017306,-104.8924713,2171.07,10.99,140.98
1744205314.2330847,39.017306,-104.8924713,2171.07,10.99,140.98
1744205314.9269938,39.017306,-104.8924713,2171.07,10.99,150.98
1744205315.2361023,39.017306,-104.8924713,2171.07,10.99,150.98
1744205315.9571257,39.017306,-104.8924714,2171.07,10.99,160.97
1744205316.2594714,39.017306,-104.8924714,2171.07,10.99,160.97
1744205316.9663506,39.0173061,-104.8924714,2171.07,10.989,170.98
1744205317.2530282,39.0173061,-104.8924714,2171.07,10.989,170.98
1744205317.9808943,39.0173061,-104.8924714,2171.06,10.988,180.97
1744205318.2544186,39.0173061,-104.8924714,2171.06,10.988,180.97
1744205318.9989913,39.0173061,-104.8924714,2171.07,10.989,190.99
1744205319.2646837,39.0173061,-104.8924714,2171.07,10.989,190.99
1744205320.0187485,39.0173061,-104.8924714,2171.07,10.99,200.98
1744205320.2693312,39.0173061,-104.8924714,2171.07,10.99,200.98
1744205321.0470061,39.0173062,-104.8924714,2171.07,10.99,210.99
1744205321.296943,39.0173062,-104.8924714,2171.07,10.99,210.99
1744205322.0607712,39.0173062,-104.8924714,2171.07,10.99,220.98
1744205322.3060431,39.0173062,-104.8924714,2171.07,10.99,220.98
1744205323.1146557,39.0173062,-104.8924714,2171.07,10.99,230.99
1744205323.310203,39.0173062,-104.8924714,2171.07,10.99,230.99
1744205324.1247373,39.0173062,-104.8924713,2171.06,10.989,240.98
1744205324.3679054,39.0173062,-104.8924713,2171.06,10.989,240.98
1744205325.1353924,39.0173062,-104.8924712,2171.06,10.988,255.99
1744205325.3770587,39.0173062,-104.8924712,2171.06,10.988,255.99
1744205326.1357143,39.0173063,-104.8924712,2171.07,10.99,265.99
1744205326.43772,39.0173063,-104.8924712,2171.07,10.99,265.99
1744205327.1383607,39.0173063,-104.8924712,2171.07,10.99,275.99
1744205327.4589038,39.0173063,-104.8924712,2171.07,10.99,275.99
1744205328.1437688,39.0173063,-104.8924711,2171.07,10.99,285.97
1744205328.4642916,39.0173063,-104.8924711,2171.07,10.99,285.97
1744205329.1598248,39.0173063,-104.8924711,2171.07,10.99,295.99
1744205329.4796357,39.0173063,-104.8924711,2171.07,10.99,295.99
1744205330.182411,39.0173063,-104.892471,2171.06,10.988,305.97
1744205330.4960828,39.0173063,-104.892471,2171.06,10.988,305.97
1744205331.2155964,39.0173063,-104.892471,2171.06,10.988,315.99
1744205331.5178542,39.0173063,-104.892471,2171.06,10.988,315.99
1744205332.2186253,39.0173063,-104.892471,2171.07,10.99,325.98
1744205332.5411234,39.0173063,-104.892471,2171.07,10.99,325.98
1744205333.2327325,39.0173063,-104.8924709,2171.07,10.99,335.99
1744205333.5623808,39.0173063,-104.8924709,2171.07,10.99,335.99
1744205334.2501693,39.0173062,-104.8924708,2171.07,10.99,345.98
1744205334.59327,39.0173062,-104.8924708,2171.07,10.99,345.98
1744205335.2693357,39.0173062,-104.8924708,2171.07,10.99,355.98
1744205335.619055,39.0173062,-104.8924708,2171.07,10.99,355.98
1744205336.293069,39.0173062,-104.8924708,2171.06,10.988,5.97
1744205336.63462,39.0173062,-104.8924708,2171.06,10.988,5.97
1744205337.3151417,39.0173061,-104.8924708,2171.06,10.989,15.98
1744205338.3214395,39.0173061,-104.8924708,2171.07,10.99,25.97
1744205338.690102,39.0173061,-104.8924708,2171.07,10.99,25.97
1744205339.3494911,39.017306,-104.8924708,2171.07,10.99,35.97
1744205339.6995332,39.017306,-104.8924708,2171.07,10.99,35.97
1744205340.3557076,39.017306,-104.8924709,2171.07,10.99,45.98
1744205340.7297354,39.017306,-104.8924709,2171.07,10.99,45.98
1744205341.3646016,39.017306,-104.8924709,2171.07,10.99,55.98
1744205341.7430995,39.017306,-104.8924709,2171.07,10.99,55.98
1744205342.3970292,39.017306,-104.892471,2171.07,10.99,65.98
1744205342.728316,39.017306,-104.892471,2171.07,10.99,65.98
1744205343.40688,39.017306,-104.892471,2171.06,10.989,75.98
1744205343.7572255,39.017306,-104.892471,2171.06,10.989,75.98
1744205344.4149373,39.017306,-104.8924711,2171.06,10.988,85.98
1744205344.7552066,39.017306,-104.8924711,2171.06,10.988,85.98
1744205345.4467683,39.017306,-104.8924711,2171.06,10.989,95.98
1744205346.442292,39.017306,-104.8924711,2171.07,10.99,105.98
1744205346.773471,39.017306,-104.8924711,2171.07,10.99,105.98
1744205347.452987,39.017306,-104.8924711,2171.07,10.99,115.98
1744205348.454162,39.017306,-104.8924712,2171.07,10.99,125.98
1744205348.8267608,39.017306,-104.8924712,2171.07,10.99,125.98
1744205349.4596453,39.017306,-104.8924713,2171.07,10.99,135.98
1744205349.8524988,39.017306,-104.8924713,2171.07,10.99,135.98
1744205350.4837654,39.017306,-104.8924713,2171.07,10.99,145.98
1744205350.8209927,39.017306,-104.8924713,2171.07,10.99,145.98
1744205351.502638,39.017306,-104.8924713,2171.06,10.988,155.98
1744205351.8441477,39.017306,-104.8924713,2171.06,10.988,155.98
1744205352.526362,39.017306,-104.8924714,2171.06,10.989,165.98
1744205352.8305655,39.017306,-104.8924714,2171.06,10.989,165.98
1744205353.555203,39.0173061,-104.8924714,2171.07,10.99,175.97
1744205353.8654127,39.0173061,-104.8924714,2171.07,10.99,175.97
1744205354.5892076,39.0173061,-104.8924714,2171.07,10.99,185.99
1744205354.915486,39.0173061,-104.8924714,2171.07,10.99,185.99
1744205355.59448,39.0173061,-104.8924714,2171.07,10.99,200.98
1744205355.925425,39.0173061,-104.8924714,2171.07,10.99,200.98
1744205356.6056023,39.0173061,-104.8924714,2171.07,10.99,210.99
1744205356.9417784,39.0173061,-104.8924714,2171.07,10.99,210.99
1744205357.6404936,39.0173062,-104.8924714,2171.06,10.989,220.99
1744205357.944959,39.0173062,-104.8924714,2171.06,10.989,220.99
1744205358.6429658,39.0173062,-104.8924713,2171.06,10.988,230.99
1744205358.9489264,39.0173062,-104.8924713,2171.06,10.988,230.99
1744205359.6733787,39.0173062,-104.8924713,2171.07,10.99,240.99
1744205359.973596,39.0173062,-104.8924713,2171.07,10.99,240.99
1744205360.667964,39.0173063,-104.8924713,2171.07,10.99,250.99
1744205360.9632876,39.0173063,-104.8924713,2171.07,10.99,250.99
1744205361.6972463,39.0173063,-104.8924712,2171.07,10.99,260.99
1744205361.9650786,39.0173063,-104.8924712,2171.07,10.99,260.99
1744205362.7206552,39.0173063,-104.8924712,2171.07,10.99,270.99
1744205362.9800766,39.0173063,-104.8924712,2171.07,10.99,270.99
1744205363.7259078,39.0173063,-104.8924711,2171.06,10.988,280.98
1744205363.9750016,39.0173063,-104.8924711,2171.06,10.988,280.98
1744205364.732703,39.0173063,-104.8924711,2171.06,10.988,290.98
1744205364.9859526,39.0173063,-104.8924711,2171.06,10.988,290.98
1744205365.757983,39.0173063,-104.892471,2171.07,10.99,300.97
1744205365.9889755,39.0173063,-104.892471,2171.07,10.99,300.97
1744205366.7832198,39.0173063,-104.892471,2171.07,10.99,310.99
1744205367.010233,39.0173063,-104.892471,2171.07,10.99,310.99
1744205367.7839942,39.0173063,-104.8924709,2171.07,10.99,320.97
1744205368.0067,39.0173063,-104.8924709,2171.07,10.99,320.97
1744205368.8243017,39.0173063,-104.8924709,2171.07,10.99,330.99
1744205369.0251563,39.0173063,-104.8924709,2171.07,10.99,330.99
